Timestamp,New Nexus 1272 Meter,Inverters,Site Performance Estimate
,kWh,kWh,kWh
11/18/15,3475,3995,14959
11/19/15,22876,23576,14897
11/20/15,14163,14841,14835
11/21/15,-391,147,14774
11/22/15,455,987,14712
11/23/15,5416,6012,14651
11/24/15,19495,20198,14589
11/25/15,14858,15456,14527
11/26/15,16326,16905,14466
11/27/15,514,944,14404
11/28/15,1749,2225,14343
11/29/15,5326,5835,14281
11/30/15,2230,2760,14219
12/1/15,18281,18973,14160
12/2/15,3691,4259,14100
12/3/15,2886,3462,14041
12/4/15,7611,8206,13981
12/5/15,7809,8353,13921
12/6/15,14589,15199,13862
12/7/15,-103,29.3,13802
12/8/15,null,null,13743
12/9/15,null,null,13683
12/10/15,null,null,13624
12/11/15,1483,1781,13564
12/12/15,3260,3755,13504
12/13/15,875,1307,13445
12/14/15,3817,4318,13385
12/15/15,2417,2968,13326
12/16/15,7740,8314,13357
12/17/15,3370,3972,13478
12/18/15,17537,18278,13600
12/19/15,18743,19470,13722
12/20/15,10137,10743,13843
12/21/15,6225,6821,13965
12/22/15,2652,3195,14087
12/23/15,1237,1452,14208
12/24/15,9442,9743,14330
12/25/15,17207,17593,14452
12/26/15,314,445,14574
12/27/15,1364,1473,14695
12/28/15,605,784,14817
12/29/15,1885,2131,14939
12/30/15,2161,2452,15060
12/31/15,1761,1967,15182
1/1/16,6713,-337946,15303
1/2/16,20030,20309,15425
1/3/16,12500,12800,15547
1/4/16,19460,19941,15668
1/5/16,19511,19764,15790
1/6/16,12004,12569,15912
1/7/16,9429,10101,16033
1/8/16,1129,1690,16155
1/9/16,777,1337,16277
1/10/16,13305,14056,16398
1/11/16,10201,10895,16520
1/12/16,21793,22647,16641
1/13/16,7534,8132,16763
1/14/16,20586,21366,16885
1/15/16,1000,1605,17006
1/16/16,5782,6419,17127
1/17/16,7397,8132,17246
1/18/16,8373,9140,17365
1/19/16,-522,5963,17485
1/20/16,-71,621,17604
1/21/16,-5,676,17723
1/22/16,-110,469,17842
1/23/16,2348,2934,17962
1/24/16,15791,16567,18081
1/25/16,8824,9461,18200
1/26/16,2630,3237,18319
1/27/16,13735,14466,18439
1/28/16,20886,21707,18558
1/29/16,19685,20499,18677
1/30/16,15929,16651,18796
1/31/16,8916,9532,18916
2/1/16,19423,20256,19043
2/2/16,1176,1761,19170
2/3/16,2159,2775,19298
2/4/16,27723,28695,19425
2/5/16,8826,9517,19553
2/6/16,26105,26973,19680
2/7/16,21590,22365,19808
2/8/16,4381,4995,19935
2/9/16,6002,6641,20063
2/10/16,19970,20758,20190
2/11/16,29962,30910,20317
2/12/16,7478,8105,20445
2/13/16,29502,30358,20572
2/14/16,5178,5814,20700
2/15/16,6892,7570,20804
2/16/16,26144,27097,20885
2/17/16,6898,7571,20967
2/18/16,18343,19145,21048
2/19/16,19673,20459,21129
2/20/16,29449,30380,21211
2/21/16,26297,27170,21292
2/22/16,25750,26656,21373
2/23/16,25243,26058,21454
2/24/16,992,1468,21536
2/25/16,14030,14633,21617
2/26/16,16155,16864,21698
2/27/16,31661,32570,21780
2/28/16,25059,25887,21861
2/29/16,30899,31868,21942
3/1/16,3443,4046,22018
3/2/16,29984,30943,22094
3/3/16,2338,2916,22170
3/4/16,29379,30271,22246
3/5/16,9120,9662,22322
3/6/16,27859,28622,22398
3/7/16,8028,8605,22474
3/8/16,22339,23194,22550
3/9/16,6933,7561,22626
3/10/16,5438,6044,22702
3/11/16,25280,26187,22778
3/12/16,7758,8354,22854
3/13/16,6317,6894,22930
3/14/16,6636,7270,23006
3/15/16,28762,29735,23082
3/16/16,32312,33236,23211
3/17/16,31097,32029,23394
3/18/16,25203,26080,23577
3/19/16,12865,13522,23760
3/20/16,21913,22677,23942
3/21/16,33683,34654,24125
3/22/16,28794,29736,24308
3/23/16,17900,18714,24490
3/24/16,9073,9741,24673
3/25/16,26880,27801,24856
3/26/16,35525,36515,25039
3/27/16,18415,19152,25221
3/28/16,25209,26108,25404
3/29/16,35918,37038,25587
3/30/16,5624,6266,25769
3/31/16,18041,18860,25952
4/1/16,18388,19151,26141
4/2/16,30404,31243,26329
4/3/16,36584,37546,26518
4/4/16,22081,22913,26707
4/5/16,35064,36095,26896
4/6/16,2844,3409,27084
4/7/16,18860,19602,27273
4/8/16,12684,13310,27462
4/9/16,38408,39413,27650
4/10/16,3222,3764,27839
4/11/16,21212,21961,28028
4/12/16,37966,38978,28217
4/13/16,30935,31883,28405
4/14/16,25084,26024,28594
4/15/16,30535,31522,28783
4/16/16,31748,32742,28803
4/17/16,36942,37976,28824
4/18/16,33464,34518,28845
4/19/16,18446,19283,28865
4/20/16,13912,14632,28886
4/21/16,17428,18199,28906
4/22/16,33751,34696,28927
4/23/16,29991,30854,28948
4/24/16,34277,35230,28968
4/25/16,27541,28496,28989
4/26/16,10929,11678,29010
4/27/16,6351,6866,29030
4/28/16,14154,14840,29051
4/29/16,17082,17818,29071
4/30/16,2747,3219,29092
5/1/16,14635,15317,29112
5/2/16,11537,12265,29132
5/3/16,26332,27296,29152
5/4/16,21921,22774,29172
5/5/16,21830,22714,29192
5/6/16,31552,32611,29212
5/7/16,18442,19299,29232
5/8/16,12563,13263,29252
5/9/16,8916,9646,29272
5/10/16,14308,15132,29291
5/11/16,21178,22130,29311
5/12/16,10249,11035,29331
5/13/16,31082,32097,29351
5/14/16,21541,22309,29371
5/15/16,37534,38508,29391
5/16/16,24935,25818,29433
5/17/16,12212,12923,29498
5/18/16,27848,28780,29562
5/19/16,36092,37157,29626
5/20/16,11639,12332,29691
5/21/16,33546,34548,29755
5/22/16,33803,34855,29819
5/23/16,33900,35004,29884
5/24/16,32110,33236,29948
5/25/16,27549,28642,30013
5/26/16,18683,19633,30077
5/27/16,19259,20148,30141
5/28/16,21302,22141,30206
5/29/16,30890,31871,30270
5/30/16,27531,28506,30334
5/31/16,19672,20576,30399
6/1/16,17661,18553,30465
6/2/16,31561,32663,30532
6/3/16,27311,28284,30598
6/4/16,7646,8273,30665
6/5/16,27359,28213,30731
6/6/16,36266,37255,30798
6/7/16,34546,35506,30864
6/8/16,35987,37020,30931
6/9/16,28164,29142,30997
6/10/16,32940,34062,31064
6/11/16,31395,32494,31130
6/12/16,31283,32316,31197
6/13/16,32240,33323,31263
6/14/16,26920,27921,31329
6/15/16,31380,32508,31396
6/16/16,36031,37113,31379
6/17/16,35554,36626,31363
6/18/16,35049,36122,31346
6/19/16,30612,31689,31330
6/20/16,31290,32434,31314
6/21/16,36211,37319,31297
6/22/16,16006,16855,31281
6/23/16,33368,34494,31264
6/24/16,27697,28709,31248
6/25/16,33941,35055,31231
6/26/16,22843,23801,31215
6/27/16,34304,35454,31198
6/28/16,28702,29679,31182
6/29/16,37405,38446,31165
6/30/16,29152,30098,31149
7/1/16,33106,34032,31133
7/2/16,11569,12168,31117
7/3/16,4928,5395,31101
7/4/16,11778,12426,31085
7/5/16,28416,29445,31069
7/6/16,18227,19052,31053
7/7/16,23941,24834,31037
7/8/16,32819,33872,31021
7/9/16,33453,34424,31005
7/10/16,35908,36918,30989
7/11/16,31225,32295,30973
7/12/16,26095,27092,30957
7/13/16,18884,19714,30941
7/14/16,31544,32485,30925
7/15/16,35710,36645,30909
7/16/16,34916,35804,30854
7/17/16,21817,22581,30760
7/18/16,20749,21662,30666
7/19/16,23845,24809,30572
7/20/16,30357,31376,30478
7/21/16,24152,25157,30384
7/22/16,27926,28907,30290
7/23/16,27815,28845,30196
7/24/16,28683,29696,30102
7/25/16,20066,20909,30008
7/26/16,25946,26875,29914
7/27/16,30046,31097,29820
7/28/16,21324,22214,29726
7/29/16,26351,27284,29632
7/30/16,28190,29089,29538
7/31/16,23563,24400,29444
8/1/16,25189,26117,29350
8/2/16,23729,24646,29256
8/3/16,28077,29016,29162
8/4/16,25978,26909,29068
8/5/16,22610,23463,28974
8/6/16,28290,29127,28880
8/7/16,29467,30312,28786
8/8/16,27097,27994,28692
8/9/16,27793,28753,28598
8/10/16,29557,30561,28504
8/11/16,28667,29647,28410
8/12/16,20279,21130,28316
8/13/16,16341,17072,28222
8/14/16,12327,13002,28128
8/15/16,3450,4072,28034
8/16/16,21423,22241,27932
8/17/16,24183,25074,27822
8/18/16,26458,27377,27711
8/19/16,20901,21707,27601
8/20/16,19357,20057,27490
8/21/16,33432,34230,27380
8/22/16,33864,34762,27270
8/23/16,28539,29378,27159
8/24/16,17790,18564,27049
8/25/16,29768,30676,26939
8/26/16,23030,23835,26828
8/27/16,25322,26148,26718
8/28/16,25315,26149,26607
8/29/16,29457,30348,26497
8/30/16,21206,22026,26387
8/31/16,19947,20706,26276
9/1/16,30643,31504,26162
9/2/16,32086,32931,26048
9/3/16,29433,30192,25934
9/4/16,29106,29865,25820
9/5/16,26207,27026,25706
9/6/16,25432,26341,25592
9/7/16,24182,25049,25478
9/8/16,7973,8637,25364
9/9/16,7700,8348,25250
9/10/16,23118,23804,25136
9/11/16,33125,33934,25023
9/12/16,32773,33640,24909
9/13/16,25701,26532,24795
9/14/16,20323,21074,24681
9/15/16,22169,22952,24567
9/16/16,10555,11245,24478
9/17/16,25352,26135,24388
9/18/16,29483,30307,24299
9/19/16,32186,33103,24210
9/20/16,26776,27701,24121
9/21/16,27274,28154,24032
9/22/16,26517,27424,23943
9/23/16,27734,28642,23854
9/24/16,25337,26180,23765
9/25/16,20587,21348,23676
9/26/16,30404,31228,23587
9/27/16,32643,33487,23498
9/28/16,16352,17006,23409
9/29/16,17324,17982,23319
9/30/16,6620,7162,23230
10/1/16,15449,16084,23144
10/2/16,14901,15527,23058
10/3/16,15886,16590,22972
10/4/16,30603,31462,22886
10/5/16,21849,22642,22799
10/6/16,16951,17674,22713
10/7/16,22025,22751,22627
10/8/16,31620,32386,22541
10/9/16,29212,29969,22455
10/10/16,25527,26312,22368
10/11/16,22335,23093,22282
10/12/16,9349,9905,22196
10/13/16,31767,32558,22110
10/14/16,28199,28965,22024
10/15/16,10762,11314,21938
10/16/16,5494,6014,21784
10/17/16,25214,26013,21564
10/18/16,8595,9249,21344
10/19/16,7441,8060,21123
10/20/16,6310,6859,20903
10/21/16,19208,19900,20683
10/22/16,28138,28926,20463
10/23/16,27172,27937,20242
10/24/16,24928,25668,20022
10/25/16,11010,11539,19802
10/26/16,5872,6363,19582
10/27/16,3601,4090,19361
10/28/16,21156,21889,19141
10/29/16,19376,20111,18921
10/30/16,15965,16663,18701
10/31/16,17339,18050,18480
11/1/16,18444,19233,18253
11/2/16,10135,10862,18025
11/3/16,14556,15279,17798
11/4/16,26099,26916,17570
11/5/16,19965,20675,17343
11/6/16,24341,25116,17115
11/7/16,21077,21845,16887
11/8/16,1985,2516,16660
11/9/16,23592,24367,16432
11/10/16,25065,25838,16205
11/11/16,14566,15219,15977
11/12/16,24334,25110,15750
11/13/16,24713,25474,15522
11/14/16,19619,20376,15295
11/15/16,21900,22628,15068
11/16/16,21532,22240,15006
11/17/16,16614,17284,14945
11/18/16,6324,6834,14884
11/19/16,7306,7811,14822
11/20/16,23679,24367,14761
11/21/16,22401,23094,14700
11/22/16,15129,15725,14638
11/23/16,568,1028,14577
11/24/16,1252,1689,14516
11/25/16,4239,4682,14455
11/26/16,15006,15544,14393
11/27/16,3733,4159,14332
11/28/16,308,770,14271
11/29/16,15648,16258,14210
11/30/16,12484,13058,14148
12/1/16,4012,4527,14089
12/2/16,3870,4409,14030
12/3/16,8379,8894,13970
12/4/16,896,1347,13911
12/5/16,1908,2407,13852
12/6/16,3767,4263,13792
12/7/16,12777,13350,13733
12/8/16,5292,5835,13674
12/9/16,7195,7768,13615
12/10/16,5814,6329,13555
12/11/16,605,1066,13496
12/12/16,12375,12981,13437
12/13/16,200,716,13377
12/14/16,673,1214,13318
12/15/16,15288,15970,13259
12/16/16,2210,2762,13290
12/17/16,1159,1654,13411
12/18/16,14741,15359,13532
12/19/16,16006,16648,13653
12/20/16,1405,1602,13774
12/21/16,null,null,13895
12/22/16,null,null,14016
12/23/16,null,null,14137
12/24/16,null,null,14258
12/25/16,null,null,14379
12/26/16,null,null,14500
12/27/16,null,null,14622
12/28/16,14351,14774,14743
12/29/16,16462,17049,14864
12/30/16,15971,16552,14985
12/31/16,11553,-7504867,15106
1/1/17,18844,19450,15227
1/2/17,2168,2596,15348
1/3/17,1096,1553,15469
1/4/17,18139,18800,15590
1/5/17,578,1115,15711
1/6/17,2755,3318,15832
1/7/17,7818,8325,15953
1/8/17,14693,15273,16074
1/9/17,8282,8816,16195
1/10/17,708,1169,16316
1/11/17,2386,2869,16437
1/12/17,2545,3069,16558
1/13/17,10091,10681,16679
1/14/17,2088,2549,16800
1/15/17,5322,5795,16921
1/16/17,2334,2799,17053
1/17/17,2137,2592,17195
1/18/17,6993,7494,17338
1/19/17,2646,3127,17480
