"Month","Day","Year","Hr","Inverter_hr_mean"
"1","1","17","0",0
"1","1","17","1",0
"1","1","17","10",3208.75
"1","1","17","11",3840.25
"1","1","17","12",3761
"1","1","17","13",2900
"1","1","17","14",1642
"1","1","17","15",827.5
"1","1","17","16",72.815
"1","1","17","17",0
"1","1","17","18",0
"1","1","17","19",0
"1","1","17","2",0
"1","1","17","20",0
"1","1","17","21",0
"1","1","17","22",0
"1","1","17","23",0
"1","1","17","3",0
"1","1","17","4",0
"1","1","17","5",0
"1","1","17","6",0
"1","1","17","7",140.095
"1","1","17","8",1149
"1","1","17","9",2172
"1","10","17","0",0
"1","10","17","1",0
"1","10","17","10",57.825
"1","10","17","11",107.35
"1","10","17","12",104.725
"1","10","17","13",269.5
"1","10","17","14",256
"1","10","17","15",213.75
"1","10","17","16",27.5375
"1","10","17","17",0
"1","10","17","18",0
"1","10","17","19",0
"1","10","17","2",0
"1","10","17","20",0
"1","10","17","21",0
"1","10","17","22",0
"1","10","17","23",0
"1","10","17","3",0
"1","10","17","4",0
"1","10","17","5",0
"1","10","17","6",0
"1","10","17","7",6.44775
"1","10","17","8",47.5
"1","10","17","9",70.475
"1","11","17","0",0
"1","11","17","1",0
"1","11","17","10",431.5
"1","11","17","11",483
"1","11","17","12",367.25
"1","11","17","13",383
"1","11","17","14",256.75
"1","11","17","15",107.25
"1","11","17","16",18.7575
"1","11","17","17",0
"1","11","17","18",0
"1","11","17","19",0
"1","11","17","2",0
"1","11","17","20",0
"1","11","17","21",0
"1","11","17","22",0
"1","11","17","23",0
"1","11","17","3",0
"1","11","17","4",0
"1","11","17","5",0
"1","11","17","6",0
"1","11","17","7",62.059
"1","11","17","8",341.5
"1","11","17","9",473.5
"1","12","17","0",0
"1","12","17","1",0
"1","12","17","10",444.25
"1","12","17","11",533.25
"1","12","17","12",740.75
"1","12","17","13",754.75
"1","12","17","14",279
"1","12","17","15",135.275
"1","12","17","16",17.1245
"1","12","17","17",0
"1","12","17","18",0
"1","12","17","19",0
"1","12","17","2",0
"1","12","17","20",0
"1","12","17","21",0
"1","12","17","22",0
"1","12","17","23",0
"1","12","17","3",0
"1","12","17","4",0
"1","12","17","5",0
"1","12","17","6",0
"1","12","17","7",1.57
"1","12","17","8",64.75
"1","12","17","9",161.5
"1","13","17","0",0
"1","13","17","1",0
"1","13","17","10",1588.25
"1","13","17","11",1743.5
"1","13","17","12",1793
"1","13","17","13",1826
"1","13","17","14",1248.5
"1","13","17","15",461
"1","13","17","16",105.145
"1","13","17","17",0
"1","13","17","18",0
"1","13","17","19",0
"1","13","17","2",0
"1","13","17","20",0
"1","13","17","21",0
"1","13","17","22",0
"1","13","17","23",0
"1","13","17","3",0
"1","13","17","4",0
"1","13","17","5",0
"1","13","17","6",0
"1","13","17","7",124.2575
"1","13","17","8",758.75
"1","13","17","9",1158
"1","14","17","0",0
"1","14","17","1",0
"1","14","17","10",263.75
"1","14","17","11",357.25
"1","14","17","12",546.5
"1","14","17","13",532.75
"1","14","17","14",447
"1","14","17","15",216.25
"1","14","17","16",46.03175
"1","14","17","17",0
"1","14","17","18",0
"1","14","17","19",0
"1","14","17","2",0
"1","14","17","20",0
"1","14","17","21",0
"1","14","17","22",0
"1","14","17","23",0
"1","14","17","3",0
"1","14","17","4",0
"1","14","17","5",0
"1","14","17","6",0
"1","14","17","7",4.26
"1","14","17","8",68.075
"1","14","17","9",107.025
"1","15","17","0",0
"1","15","17","1",0
"1","15","17","10",801.25
"1","15","17","11",1307.25
"1","15","17","12",1163
"1","15","17","13",1167.75
"1","15","17","14",326
"1","15","17","15",136.1
"1","15","17","16",44.5155
"1","15","17","17",0
"1","15","17","18",0
"1","15","17","19",0
"1","15","17","2",0
"1","15","17","20",0
"1","15","17","21",0
"1","15","17","22",0
"1","15","17","23",0
"1","15","17","3",0
"1","15","17","4",0
"1","15","17","5",0
"1","15","17","6",0
"1","15","17","7",52.325
"1","15","17","8",284.5
"1","15","17","9",602.5
"1","16","17","0",0
"1","16","17","1",0
"1","16","17","10",393.75
"1","16","17","11",652.25
"1","16","17","12",562
"1","16","17","13",345.5
"1","16","17","14",203.75
"1","16","17","15",103.575
"1","16","17","16",53.4925
"1","16","17","17",0
"1","16","17","18",0
"1","16","17","19",0
"1","16","17","2",0
"1","16","17","20",0
"1","16","17","21",0
"1","16","17","22",0
"1","16","17","23",0
"1","16","17","3",0
"1","16","17","4",0
"1","16","17","5",0
"1","16","17","6",0
"1","16","17","7",45.375
"1","16","17","8",186.75
"1","16","17","9",309.25
"1","17","17","0",0
"1","17","17","1",0
"1","17","17","10",552.5
"1","17","17","11",470
"1","17","17","12",331.75
"1","17","17","13",234.75
"1","17","17","14",317.25
"1","17","17","15",191.525
"1","17","17","16",32.75125
"1","17","17","17",0
"1","17","17","18",0
"1","17","17","19",0
"1","17","17","2",0
"1","17","17","20",0
"1","17","17","21",0
"1","17","17","22",0
"1","17","17","23",0
"1","17","17","3",0
"1","17","17","4",0
"1","17","17","5",0
"1","17","17","6",0
"1","17","17","7",11.9625
"1","17","17","8",80.975
"1","17","17","9",437.25
"1","18","17","0",0
"1","18","17","1",0
"1","18","17","10",886
"1","18","17","11",1263
"1","18","17","12",1700.75
"1","18","17","13",1462.25
"1","18","17","14",1172.25
"1","18","17","15",403.75
"1","18","17","16",114.575
"1","18","17","17",1.515
"1","18","17","18",0
"1","18","17","19",0
"1","18","17","2",0
"1","18","17","20",0
"1","18","17","21",0
"1","18","17","22",0
"1","18","17","23",0
"1","18","17","3",0
"1","18","17","4",0
"1","18","17","5",0
"1","18","17","6",0
"1","18","17","7",15.705
"1","18","17","8",105.375
"1","18","17","9",327.75
"1","19","17","0",0
"1","19","17","1",0
"1","19","17","10",735.5
"1","19","17","11",634.5
"1","19","17","12",451.75
"1","19","17","13",140.25
"1","19","17","14",104.5
"1","19","17","15",69.5
"1","19","17","16",25.16425
"1","19","17","17",0
"1","19","17","18",0
"1","19","17","19",0
"1","19","17","2",0
"1","19","17","20",0
"1","19","17","21",0
"1","19","17","22",0
"1","19","17","23",0
"1","19","17","3",0
"1","19","17","4",0
"1","19","17","5",0
"1","19","17","6",0
"1","19","17","7",84.69975
"1","19","17","8",344.25
"1","19","17","9",580
"1","2","17","0",0
"1","2","17","1",0
"1","2","17","10",500.75
"1","2","17","11",559.75
"1","2","17","12",449.25
"1","2","17","13",239.25
"1","2","17","14",201.5
"1","2","17","15",66.025
"1","2","17","16",3.24175
"1","2","17","17",0
"1","2","17","18",0
"1","2","17","19",0
"1","2","17","2",0
"1","2","17","20",0
"1","2","17","21",0
"1","2","17","22",0
"1","2","17","23",0
"1","2","17","3",0
"1","2","17","4",0
"1","2","17","5",0
"1","2","17","6",0
"1","2","17","7",12.31
"1","2","17","8",174.175
"1","2","17","9",414.5
"1","20","17","0",0
"1","20","17","1",0
"1","20","17","10",875.5
"1","20","17","11",722.25
"1","20","17","12",480.25
"1","20","17","13",334.25
"1","20","17","14",349.25
"1","20","17","15",108.2
"1","20","17","16",30.6175
"1","20","17","17",0
"1","20","17","18",0
"1","20","17","19",0
"1","20","17","2",0
"1","20","17","20",0
"1","20","17","21",0
"1","20","17","22",0
"1","20","17","23",0
"1","20","17","3",0
"1","20","17","4",0
"1","20","17","5",0
"1","20","17","6",0
"1","20","17","7",25.975
"1","20","17","8",200.75
"1","20","17","9",714.5
"1","21","17","0",0
"1","21","17","1",0
"1","21","17","10",3237.25
"1","21","17","11",4035.5
"1","21","17","12",4024.75
"1","21","17","13",3591
"1","21","17","14",2524
"1","21","17","15",1267
"1","21","17","16",192.95
"1","21","17","17",0.6425
"1","21","17","18",0
"1","21","17","19",0
"1","21","17","2",0
"1","21","17","20",0
"1","21","17","21",0
"1","21","17","22",0
"1","21","17","23",0
"1","21","17","3",0
"1","21","17","4",0
"1","21","17","5",0
"1","21","17","6",0
"1","21","17","7",91.64
"1","21","17","8",643.25
"1","21","17","9",1591
"1","22","17","0",0
"1","22","17","1",0
